"","PRICE","BUILD_YEAR","CBD_DIST","NEAREST_STN_DIST","NEAREST_SCH_DIST","Precio_M2_total","SEG_BUILD_YEAR","SEG_CBD_DIST","SEG_NEAREST_STN_DIST","SEG_NEAREST_SCH_DIST","SEG_Precio_M2_total","SEG_Precio"
"1",565,2003,18.3,1.8,0.828338551816279,941.666666666667,"2010","10-19","2-3","<=1","501-1000","501-750"
"3",287,1979,22.6,1.9,1.64917818336699,399.165507649513,"2000","20-29","2-3","2-3","2-500","<=500"
"4",255,1953,17.9,3.6,1.57140093661247,391.705069124424,"80's","10-19","4-5","2-3","2-500","<=500"
"5",325,1998,11.2,2,1.5149216294528,697.424892703863,"2000","10-19","2-3","2-3","501-1000","<=500"
"6",409,1991,27.3,1,1.2272191943992,538.866930171278,"2000","20-29","<=1","2-3","501-1000","<=500"
"7",400,2014,28.2,3.7,2.48573085706322,1036.26943005181,"2015>=","20-29","4-5","2-3","1001-2000","<=500"
"8",370,2013,41.7,1.1,0.491573138336383,790.598290598291,"2015>=","40-49","2-3","<=1","501-1000","<=500"
"9",565,1983,12.1,2.5,1.22192759311117,645.714285714286,"2000","10-19","2-3","2-3","501-1000","501-750"
"10",685,1999,5.9,0.508,0.936243264888652,1240.94202898551,"2000","3-9","<=1","<=1","1001-2000","501-750"
"12",367.5,2003,36.3,2.1,0.680843326815586,923.366834170854,"2010","30-39","2-3","<=1","501-1000","<=500"
"13",300,2008,11.5,4.8,0.189350313715957,1234.56790123457,"2010","10-19","4-5","<=1","1001-2000","<=500"
"14",535,2002,23.1,3.9,2.22064266554987,759.943181818182,"2010","20-29","4-5","2-3","501-1000","501-750"
"15",540,2004,13.1,5.1,3.2343986089606,879.478827361564,"2010","10-19","6-10","4-5","501-1000","501-750"
"16",685,1985,12.5,0.961,1.18336260293741,970.254957507082,"2000","10-19","<=1","2-3","501-1000","501-750"
"18",570,2003,15.3,7,2.74677213979785,1003.52112676056,"2010","10-19","6-10","2-3","1001-2000","501-750"
"19",318,1959,18.1,4.1,1.85924653869145,423.435419440746,"80's","10-19","4-5","2-3","2-500","<=500"
"20",379,1977,25.4,1.3,1.36419575473666,482.802547770701,"2000","20-29","2-3","2-3","2-500","<=500"
"22",465,2000,20.7,1.6,0.747108089227676,1033.33333333333,"2000","20-29","2-3","<=1","1001-2000","<=500"
"23",325,1972,11.8,1.9,1.93050498179274,771.971496437055,"80's","10-19","2-3","2-3","501-1000","<=500"
"24",515,2007,25,3.3,3.14144490900901,1327.31958762887,"2010","20-29","4-5","4-5","1001-2000","501-750"
"28",347.5,1990,13.1,1.4,1.51781084528208,768.805309734513,"2000","10-19","2-3","2-3","501-1000","<=500"
"29",492,2012,14.1,5.1,3.37407719749685,1071.8954248366,"2015>=","10-19","6-10","4-5","1001-2000","<=500"
"30",201,1985,27.5,1.3,0.630735820192388,282.700421940928,"2000","20-29","2-3","<=1","2-500","<=500"
"31",275,1996,15.5,1.9,1.29662633428967,482.456140350877,"2000","10-19","2-3","2-3","2-500","<=500"
"32",410,1983,16.7,5.8,1.17398294679767,507.425742574257,"2000","10-19","6-10","2-3","501-1000","<=500"
"33",315,1999,46.8,4.3,2.01674789219181,572.727272727273,"2000","40-49","4-5","2-3","501-1000","<=500"
"35",600,1988,24,10.4,1.63492418209621,295.85798816568,"2000","20-29","11-25","2-3","2-500","501-750"
"37",350,1974,20.9,7.6,3.78822356288348,439.146800501882,"80's","20-29","6-10","4-5","2-500","<=500"
"38",835,1998,10.8,2.8,1.50900798796976,1739.58333333333,"2000","10-19","2-3","2-3","1001-2000","751-1000"
"39",482,2008,19,5.7,1.78441508550515,1027.71855010661,"2010","10-19","6-10","2-3","1001-2000","<=500"
"41",405,1989,34.8,3.8,0.774913817309598,518.565941101152,"2000","30-39","4-5","<=1","501-1000","<=500"
"42",465,2002,14.8,7.3,2.29561111364528,750,"2010","10-19","6-10","2-3","501-1000","<=500"
"43",560,1996,19.8,7.5,3.73613048606836,945.945945945946,"2000","10-19","6-10","4-5","501-1000","501-750"
"44",380,1978,11.3,4.4,1.12289063013275,388.151174668029,"2000","10-19","4-5","2-3","2-500","<=500"
"45",360,2006,38,0.372,1.65220153396288,906.801007556675,"2010","30-39","<=1","2-3","501-1000","<=500"
"46",540,2005,26.9,4.8,1.95901641301101,842.433697347894,"2010","20-29","4-5","2-3","501-1000","501-750"
"47",420,1991,16.2,3.4,1.73565997566452,617.647058823529,"2000","10-19","4-5","2-3","501-1000","<=500"
"48",330,2011,45.5,5.6,2.66840188205303,666.666666666667,"2015>=","40-49","6-10","2-3","501-1000","<=500"
"49",705,1952,4.5,3.2,1.09328604604206,910.852713178295,"80's","3-9","4-5","2-3","501-1000","501-750"
"50",615,1994,10.9,2.6,0.54642888119072,751.833740831296,"2000","10-19","2-3","<=1","501-1000","501-750"
"51",565,1960,15.5,4.8,0.830766358341369,729.032258064516,"80's","10-19","4-5","<=1","501-1000","501-750"
"52",850,1959,3.5,2.1,0.401390588871038,926.935659760087,"80's","3-9","2-3","<=1","501-1000","751-1000"
"53",780,2015,18.6,5.8,1.4963495341523,1744.96644295302,"2015>=","10-19","6-10","2-3","1001-2000","751-1000"
"54",520,2001,17.1,3.9,1.52617750405337,1452.51396648045,"2010","10-19","4-5","2-3","1001-2000","501-750"
"55",1100,1945,8.8,0.658,0.571453883501224,1777.05977382876,"50's","3-9","<=1","<=1","1001-2000","1001-1500"
"57",312,1993,19.4,4.4,2.20730770213504,556.149732620321,"2000","10-19","4-5","2-3","501-1000","<=500"
"59",177,2015,26.2,2.4,1.00323994355644,429.611650485437,"2015>=","20-29","2-3","2-3","2-500","<=500"
"60",580,2004,16,3.9,1.25794356913338,1072.0887245841,"2010","10-19","4-5","2-3","1001-2000","501-750"
"62",470,1950,8,1.3,1.82211191533409,1593.22033898305,"50's","3-9","2-3","2-3","1001-2000","<=500"
"63",717,1995,6.4,1.4,0.583853986007437,1240.48442906574,"2000","3-9","2-3","<=1","1001-2000","501-750"
"64",650,1990,13.9,0.627,1.50036583780944,909.090909090909,"2000","10-19","<=1","2-3","501-1000","501-750"
"65",387,1998,9.5,0.594,0.265398630572684,1018.42105263158,"2000","3-9","<=1","<=1","1001-2000","<=500"
"66",330,2014,31.9,3.3,0.958686090860823,1416.30901287554,"2015>=","30-39","4-5","<=1","1001-2000","<=500"
"67",605,1977,18.2,9.2,1.14280212473114,234.678044996121,"2000","10-19","6-10","2-3","2-500","501-750"
"69",85,1965,17.8,4.3,2.48874383148822,102.657004830918,"80's","10-19","4-5","2-3","2-500","<=500"
"70",345,1992,34.5,3.8,0.872777976518225,572.139303482587,"2000","30-39","4-5","<=1","501-1000","<=500"
